blockchain,id
Aurora,auro
Avalanche,ava
Binance Smart Chain,bsc
Celo,celo
Casper,cspr
Ethereum,eth
Fantom,ftm
Fuse,fuse
Huobi ECO Chain,heco
Harmony,hrm
Klaytn,klay
Near,near
Polygon,pol
Solana,sol
Stacks,stks
Tezos,tez
Terra Classic,tra
