Project_Name,Category,Wallet_Address,Enabled
AssetDash,analytics,assetdash.near,TRUE
Defy Trends,analytics,defytrends.near,TRUE
NearBlocks,analytics,anthromachine.near,TRUE
Nearscope,analytics,blockscope.near,TRUE
NFData,analytics,nfdata.near,TRUE
Pikespeak,analytics,sodaki.near,TRUE
Plex,analytics,chumbley.near,TRUE
The Unit,analytics,theunit.near,TRUE
Token Terminal,analytics,cmpb.near,TRUE
1Inch Network  (1INCH),ecosystem,111111111117dc0aa78b770fa6a738034120c302.factory.bridge.near,TRUE
3six9,ecosystem,berynteoh.near,TRUE
Allbridge  (ABR),ecosystem,abr.a11bd.near,TRUE
Apollo42,ecosystem,apollo42.near,TRUE
Aramid Finance,ecosystem,eliastz.near,TRUE
Around Finance,ecosystem,arcusfinance.near,TRUE
Aurigami  (PLY),ecosystem,1ab43204a195a0fd37edec621482afd3792ef90b.factory.bridge.near,TRUE
Aurora  (AURORA),ecosystem,aurora.pool.near,TRUE
Aurora DAO Dashboard,ecosystem,aurora,TRUE
Aurora Faucet,ecosystem,aurora,TRUE
Bastion  (BSTN),ecosystem,059a1f1dea1020297588c316ffc30a58a1a0d4a2.factory.bridge.near,TRUE
Black IDE,ecosystem,blackfreelancer.near,TRUE
Bonuz Market  (BONUZ),ecosystem,bonuz.near,TRUE
Chai.xyz,ecosystem,chaixyz.near,TRUE
Chronicle  (XNL),ecosystem,06a00715e6f92210af9d7680b584931faf71a833.factory.bridge.near,TRUE
Circle  (USDC),ecosystem,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,TRUE
CryptoBlades,ecosystem,cryptobabes.near,TRUE
DEIP  (DEIP),ecosystem,deip-token.near,TRUE
Dev3,ecosystem,dev3is.near,TRUE
DODO  (DODO),ecosystem,43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd.factory.bridge.near,TRUE
Farm Me,ecosystem,51d0ed85eab09cbbca27e430f169f98d1404f45cd159930bed8156db1f0a3386,TRUE
Greenhouse  (GREEN),ecosystem,sankore2.near,TRUE
