contract_address,name,symbol,decimals
6b3595068778dd592e39a122f4f5a5cf09c90fe2.factory.bridge.near,SushiToken,SUSHI,18
31429d1856ad1377a8a0079410b297e1a9e214c2.factory.bridge.near,ANGLE,ANGLE,18
501ace9c35e60f03a2af4d484f49f9b1efde9f40.factory.bridge.near,solace,SOLACE,18
9c2dc0c3cc2badde84b0025cf4df1c5af288d835.factory.bridge.near,COR Token,COR,18
9f8f72aa9304c8b593d555f12ef6589cc3a579a2.factory.bridge.near,nMKR,nMKR,18
de30da39c46104798bb5aa3fe8b9e0e1f348163f.factory.bridge.near,Gitcoin,GTC,18
4fabb145d64652a948d72533023f6e7a623c7c53.factory.bridge.near,Binance USD,BUSD,18
1494ca1f11d487c2bbe4543e90080aeba4ba3c2b.factory.bridge.near,DefiPulse Index,DPI,18
f001937650bb4f62b57521824b2c20f5b91bea05.factory.bridge.near,Taraxa Coin,TARA,18
035df12e0f3ac6671126525f1015e47d79dfeddf.factory.bridge.near,0xMonero,0xMR,18
d3043d66afe00344c115f7f81d18277c5c718ff8.factory.bridge.near,OpenMoney USD,omUSD,6
c944e90c64b2c07662a292be6244bdf05cda44a7.factory.bridge.near,Graph Token,GRT,18
50d1c9771902476076ecfc8b2a83ad6b9355a4c9.factory.bridge.near,FTT,FTX Token,18
a47c8bf37f92abed4a126bda807a7b7498661acd.factory.bridge.near,Wrapped UST Token,UST,18
744d70fdbe2ba4cf95131626614a1763df805b9e.factory.bridge.near,Status Network Token,SNT,18
cf3c8be2e2c42331da80ef210e9b1b307c03d36a.factory.bridge.near,BetProtocolToken,BEPRO,18
0bc529c00c6401aef6d220be8c6ea1667f6ad93e.factory.bridge.near,yearn.finance,YFI,18
0000000de40dfa9b17854cbc7869d80f9f98d823.factory.bridge.near,delta.theta,DLTA,18
0000000000095413afc295d19edeb1ad7b71c952.factory.bridge.near,Tokenlon,LON,18
ff20817765cb7f73d4bde2e66e067e58d11095c2.factory.bridge.near,Amp,AMP,18
ba100000625a3754423978a60c9317c58a424e3d.factory.bridge.near,Balancer,BAL,18
7d1afa7b718fb893db30a3abc0cfc608aacfebb0.factory.bridge.near,Matic Token,MATIC,18
408e41876cccdc0f92210600ef50372656052a38.factory.bridge.near,Republic Token,REN,18
3540abe4f288b280a0740ad5121aec337c404d15.factory.bridge.near,TPRO,TPRO,18
c011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f.factory.bridge.near,Synthetix Network Token,SNX,18
0f51bb10119727a7e5ea3538074fb341f56b09ad.factory.bridge.near,DAO Maker,DAO,18
d2877702675e6ceb975b4a1dff9fb7baf4c91ea9.factory.bridge.near,Wrapped LUNA Token,LUNA,18
bed4ab0019ff361d83ddeb74883dac8a70f5ea1e.factory.bridge.near,MerchDAO,MRCH,18
cc7ab8d78dba187dc95bf3bb86e65e0c26d0041f.factory.bridge.near,Spacelens,SPACE,18
dbdb4d16eda451d0503b854cf79d55697f90c8df.factory.bridge.near,Alchemix,ALCX,18
0c10bf8fcb7bf5412187a595ab97a3609160b5c6.factory.bridge.near,Decentralized USD,USDD,18
056fd409e1d7a124bd7017459dfea2f387b6d5cd.factory.bridge.near,Gemini dollar,GUSD,2
054d64b73d3d8a21af3d764efd76bcaa774f3bb2.factory.bridge.near,Plasma,PPAY,18
ca0e7269600d353f70b14ad118a49575455c0f2f.factory.bridge.near,AMLT,AMLT,18
009c43b42aefac590c719e971020575974122803.factory.bridge.near,BIXToken,BIX,18
2ba592f78db6436527729929aaf6c908497cb200.factory.bridge.near,Cream,CREAM,18
77fba179c79de5b7653f68b5039af940ada60ce0.factory.bridge.near,Ampleforth Governance,FORTH,18
