blockchain,id
Arbitrum,42161
Avalanche C-Chain,43114
Binance Smart Chain,56
Boba,288
Celo,42220
Cronos,25
Ethereum,1
Fantom,250
Fuse,122
Fusion,32659
IOTEX,4689
Harmony shard 0,1666600000
Huobi Heco chain,128
Kucoin,321
Moonriver,1285
Moonbeam,1284
Near,1001313161554
OKExChain,66
Polygon,137
Shiden,336
Solana,SOL
Telos,40
XDai,84
