"DATE","ADDRESS","BALANCE"
"2023-04-13","near.poolv1.near",162717.354906375
"2023-04-13","qbit.poolv1.near",156013
"2023-04-13","binancestaking.poolv1.near",145035.056938515
"2023-04-13","udhc1.pool.near",116796.414997844
"2023-04-13","vortex_live.poolv1.near",110010.000122605
"2023-04-13","lavenderfive.poolv1.near",100745.00022943
"2023-04-13","ni.poolv1.near",100030.00070409
"2023-04-13","bflame.poolv1.near",100030.000206718
"2023-04-13","projecttent.poolv1.near",100030.000204667
"2023-04-13","guli.poolv1.near",100030.000190393
"2023-04-13","stakedao_retail.poolv1.near",100030.000178559
"2023-04-13","infstones.poolv1.near",100030.000125082
"2023-04-13","encipher.poolv1.near",96369.157647102
"2023-04-13","galaxydigital.poolv1.near",88237.000418058
"2023-04-13","iamcryptobro.poolv1.near",84568.237454246
"2023-04-13","golden_whale.poolv1.near",82112.274761475
"2023-04-13","cunum.poolv1.near",81555.680435805
"2023-04-13","oraclepool.poolv1.near",70138.289481627
"2023-04-13","future_is_near.poolv1.near",69580.000408219
"2023-04-13","bee1stake.poolv1.near",66289.735028125
"2023-04-13","minion.poolv1.near",63174.887359245
"2023-04-13","monresearch.poolv1.near",50030.012150166
"2023-04-13","ou812.poolv1.near",50030.011469555
"2023-04-13","ruziev.poolv1.near",50030.006414845
"2023-04-13","2pilot.poolv1.near",50030.00140853
"2023-04-13","evstigneeff.poolv1.near",50030.000278822
"2023-04-13","neardevvn.poolv1.near",47530.004459891
"2023-04-13","iamoskvin.poolv1.near",45030.000284871
"2023-04-13","blntmain.poolv1.near",44030.014749111
"2023-04-13","lovali.poolv1.near",42530.005254189
"2023-04-13","davaymne.poolv1.near",42530.001123425
"2023-04-13","buildnear.poolv1.near",40738.576558648
"2023-04-13","openbitlab.poolv1.near",40030.003087608
"2023-04-13","korchagin.poolv1.near",39030.000638402
"2023-04-13","ifedi.poolv1.near",37530.004662678
"2023-04-13","loyanix.poolv1.near",37530.000144759
"2023-04-13","beobeo.poolv1.near",37530.000110172
"2023-04-13","aurora.poolv1.near",37105.185999535
"2023-04-13","swissstar.poolv1.near",36801.583121826
"2023-04-13","abahmane.poolv1.near",36442.374189326
"2023-04-13","teoviteovi.poolv1.near",35031.000285724
"2023-04-13","mexa-staking.poolv1.near",35030.003452952
"2023-04-13","shurik.poolv1.near",35030.002900977
"2023-04-13","maia.poolv1.near",35030.001442755
"2023-04-13","solidstate.poolv1.near",35030.000745981
"2023-04-13","gruberx.poolv1.near",35030.000744425
"2023-04-13","p2pstaking.poolv1.near",35030.000709207
"2023-04-13","wackazong.poolv1.near",35030.000162159
"2023-04-13","leex.poolv1.near",32530.00571927
"2023-04-13","svarog.poolv1.near",32530.000899888
"2023-04-13","agrestus.poolv1.near",32530.0008695
"2023-04-13","jagon.poolv1.near",32530.000162526
"2023-04-13","qibaocenter.poolv1.near",32530.000107367
"2023-04-13","pangdao.poolv1.near",32335
"2023-04-13","coinpayu.poolv1.near",30974.683178363
"2023-04-13","meduza.poolv1.near",30656.058164448
"2023-04-13","frensvalidator.poolv1.near",30378.675979442
"2023-04-13","ignor.poolv1.near",30030.000294825
"2023-04-13","pyro.poolv1.near",30030.000115023
"2023-04-13","meria-staking.poolv1.near",29622.000144364
"2023-04-13","annanow.poolv1.near",28530.000248241
"2023-04-13","pinrocks.poolv1.near",27530.011983293
"2023-04-13","eagleowl.poolv1.near",27530.001045061
"2023-04-13","smartnode.poolv1.near",27530.000416616
"2023-04-13","infstones-global.poolv1.near",26120.000113539
"2023-04-13","nodeverse_2.poolv1.near",26030.10703228
"2023-04-13","machfund.poolv1.near",25935.02537769
"2023-04-13","trdm.poolv1.near",25030.002613566
"2023-04-13","nepser.poolv1.near",25030.002054753
"2023-04-13","vcap.poolv1.near",25030.000179098
"2023-04-13","luganodes.pool.near",25005.000128649
"2023-04-13","jumbo_exchange.pool.near",20030.000128514
"2023-04-13","raynetwork.poolv1.near",10390
"2023-04-13","thepassivetrust.poolv1.near",4495.000434211
"2023-04-13","ib.poolv1.near",3438
"2023-04-13","dsrvlabs.poolv1.near",3030.000852657
"2023-04-13","sparkpool.poolv1.near",3030.000484882
"2023-04-13","cryptium.poolv1.near",3030.000403457
"2023-04-13","zkv_staketosupportprivacy.poolv1.near",3030.000402049
"2023-04-13","buildlinks.poolv1.near",3030.000401726
"2023-04-13","erm.poolv1.near",3030.000401343
"2023-04-13","rocknroll.poolv1.near",3030
"2023-04-13","grassets.poolv1.near",2400.000325591
"2023-04-13","majlovesreg.poolv1.near",1731.832923621
"2023-04-13","oceanblock.poolv1.near",1707.002836438
"2023-04-13","nearkoreahub.poolv1.near",1513.665087891
"2023-04-13","owa.poolv1.near",1180.892805537
"2023-04-13","chelovek_iz_naroda.poolv1.near",1030.00027717
"2023-04-13","anchikovproduction.poolv1.near",928.980442376
"2023-04-13","inc4.poolv1.near",670.000195901
"2023-04-13","psixoz.poolv1.near",398.000133497
"2023-04-13","neardevgov.poolv1.near",330.000161111
"2023-04-13","interstakeone.poolv1.near",221.392530546
"2023-04-13","nc2.poolv1.near",199.573208084
"2023-04-13","letsnode.poolv1.near",195.468192916
"2023-04-13","prometei1100.poolv1.near",185.000142461
"2023-04-13","stakesstone.poolv1.near",141.00019223
"2023-04-13","magicpowered.poolv1.near",136.884705653
"2023-04-13","qweqaz.poolv1.near",135.500564659
"2023-04-13","bloclick.poolv1.near",135
"2023-04-13","leadnode.poolv1.near",130
"2023-04-13","gritsly.poolv1.near",130
"2023-04-13","landtoempire.poolv1.near",130
"2023-04-13","cyberstake.poolv1.near",114.462613206
"2023-04-13","gromazek.poolv1.near",106.000215698
"2023-04-13","samid1.poolv1.near",105.000405494
"2023-04-13","bablonear.poolv1.near",103.965936253
"2023-04-13","kashyk.poolv1.near",103.522024418
"2023-04-13","stakeangle.poolv1.near",103.001927621
"2023-04-13","scottymain.poolv1.near",102.400215899
"2023-04-13","alinode.poolv1.near",101.000621448
"2023-04-13","kyc1.poolv1.near",100.00017953
"2023-04-13","n_shoko.poolv1.near",100
"2023-04-13","jzteam.poolv1.near",90.000190931
"2023-04-13","stardust.pool.near",90.00013386
"2023-04-13","stakewithjenni.poolv1.near",90
"2023-04-13","spectrum.poolv1.near",85.000511134
"2023-04-13","k300ventures.poolv1.near",81.000405515
"2023-04-13","sashamaxymchuk.poolv1.near",80.500131086
"2023-04-13","cryptosolutions.poolv1.near",80.000935406
"2023-04-13","onehispano.poolv1.near",80
"2023-04-13","infinite.poolv1.near",80
"2023-04-13","teajs.poolv1.near",75.000250244
"2023-04-13","lunarpulse.poolv1.near",72.5
"2023-04-13","chorusone.poolv1.near",70.000412221
"2023-04-13","darvin228.poolv1.near",70.00024155
"2023-04-13","kryptovlada-pool.poolv1.near",63.717220371
"2023-04-13","bridgetower_v1.poolv1.near",63
"2023-04-13","genesislab.poolv1.near",60.000420016
"2023-04-13","01stake.poolv1.near",58.001172059
"2023-04-13","fulcrum.poolv1.near",53.037527097
"2023-04-13","foundry.poolv1.near",53
"2023-04-13","lowfeevalidation.poolv1.near",52.600409438
"2023-04-13","ym304.poolv1.near",50.061491943
"2023-04-13","sphere.poolv1.near",50.00086709
"2023-04-13","anyvalid.poolv1.near",50
"2023-04-13","anya-forger.poolv1.near",50
"2023-04-13","shardlabs.poolv1.near",50
"2023-04-13","stakecito.poolv1.near",50
"2023-04-13","apm.poolv1.near",50
"2023-04-13","staking4all.poolv1.near",49.000429013
"2023-04-13","galich.poolv1.near",46
"2023-04-13","republic.poolv1.near",45.941309799
"2023-04-13","frogadier.poolv1.near",45.000368311
"2023-04-13","fortress.poolv1.near",45.000367945
"2023-04-13","x50capital.poolv1.near",45
"2023-04-13","lastnode.poolv1.near",43.000175515
"2023-04-13","mantradao.poolv1.near",42.000416096
"2023-04-13","fibocryto.poolv1.near",42.000274913
"2023-04-13","chain0ps.poolv1.near",42
"2023-04-13","gpvalidator.poolv1.near",41.658553977
"2023-04-13","dialogue.poolv1.near",41.39351272
"2023-04-13","jubi.poolv1.near",41.1
"2023-04-13","primary_stake.poolv1.near",41
"2023-04-13","evgnear.poolv1.near",41
"2023-04-13","stakingcabin.poolv1.near",41
"2023-04-13","cybernet.poolv1.near",40.010205043
"2023-04-13","cryptoblossom.poolv1.near",40.000424974
"2023-04-13","neardublin.poolv1.near",40.000415252
"2023-04-13","maluconiraef.poolv1.near",40.000308391
"2023-04-13","mintia.poolv1.near",40.000181523
"2023-04-13","page_up.poolv1.near",40
"2023-04-13","rioblocks.poolv1.near",40
"2023-04-13","upgold.poolv1.near",40
"2023-04-13","seoul-near-staking-pool-five.poolv1.near",40
"2023-04-13","cs_skipkun.poolv1.near",40
"2023-04-13","stardust.poolv1.near",38
"2023-04-13","stakeplus.poolv1.near",38
"2023-04-13","a1in-miningpond.poolv1.near",37.000863539
"2023-04-13","rossi-validator.poolv1.near",36.589791949
"2023-04-13","sicmundus.poolv1.near",36.03525932
"2023-04-13","zer0knowledge.poolv1.near",36
"2023-04-13","pos-validator.poolv1.near",36
"2023-04-13","marikon.poolv1.near",35.200130792
"2023-04-13","nativo.pool.near",35.000983712
"2023-04-13","anonstake.poolv1.near",35.000886902
"2023-04-13","nearuaguild.poolv1.near",35.000881
"2023-04-13","validatrium.poolv1.near",35.000863109
"2023-04-13","cipher.poolv1.near",35.000119566
"2023-04-13","kiln-1.poolv1.near",35
"2023-04-13","centurion.poolv1.near",34.146219436
"2023-04-13","idtcn4.poolv1.near",34
"2023-04-13","cryptosjnet.poolv1.near",34
"2023-04-13","dariya.poolv1.near",34
"2023-04-13","kromer.poolv1.near",33.000413021
"2023-04-13","iosgvc.poolv1.near",33.000405277
"2023-04-13","stingray.poolv1.near",33.00038324
"2023-04-13","4ire.poolv1.near",33
"2023-04-13","binancenode2.poolv1.near",32.500130356
"2023-04-13","vaultstaking.poolv1.near",32.500126174
"2023-04-13","snsmln.poolv1.near",32.5
"2023-04-13","marmaj.poolv1.near",32.190168521
"2023-04-13","stakerrash.poolv1.near",32.000267235
"2023-04-13","vitalpointai.poolv1.near",32.000219123
"2023-04-13","inklgod.poolv1.near",32
"2023-04-13","dimasik1.poolv1.near",32
"2023-04-13","blockngine.poolv1.near",32
"2023-04-13","00agent.poolv1.near",31.000825727
"2023-04-13","nortwhale.poolv1.near",31.000491816
"2023-04-13","doubletop.poolv1.near",31.000409427
"2023-04-13","ivzor.poolv1.near",31.000409121
"2023-04-13","twinstake.poolv1.near",31.000302654
"2023-04-13","brea.poolv1.near",31.000240924
"2023-04-13","dklabco.poolv1.near",31.000206829
"2023-04-13","welldonestake.poolv1.near",31.000186046
"2023-04-13","digiindia.poolv1.near",31.000158243
"2023-04-13","stakeseeker.poolv1.near",31.0001485
"2023-04-13","blackhox.poolv1.near",31.00013567
"2023-04-13","sazhiv.poolv1.near",31.000106417
"2023-04-13","gateomega.poolv1.near",31
"2023-04-13","polkachu.poolv1.near",31
"2023-04-13","ibsblock.poolv1.near",31
"2023-04-13","al3c5.poolv1.near",31
"2023-04-13","meria.poolv1.near",31
"2023-04-13","crabhouse.poolv1.near",30.900123515
"2023-04-13","domanodes.poolv1.near",30.690775686
"2023-04-13","steak.poolv1.near",30.500412993
"2023-04-13","snoopfear.poolv1.near",30.500136952
"2023-04-13","lscmval.poolv1.near",30.150897695
"2023-04-13","cypherhunter.poolv1.near",30.142815923
"2023-04-13","sunset.poolv1.near",30.100276544
"2023-04-13","consensus_finoa_01.poolv1.near",30.100117994
"2023-04-13","consensus_finoa_00.poolv1.near",30.100113307
"2023-04-13","rockxv2.poolv1.near",30.1
"2023-04-13","usn.pool.near",30.081719947
"2023-04-13","blackblocks.poolv1.near",30.047010297
